tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
g__Candidatus_Microthrix,f__Microthrixaceae,rank_5,g__Candidatus_Microthrix,Root,d__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__Microthrixaceae,g__Candidatus_Microthrix,
s__Candidatus_Microthrix_parvicella,g__Candidatus_Microthrix,rank_6,s__Candidatus_Microthrix_parvicella,Root,d__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__Microthrixaceae,g__Candidatus_Microthrix,s__Candidatus_Microthrix_parvicella
c__Actinobacteria,p__Actinobacteria,rank_2,c__Actinobacteria,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,,,,
o__Acidothermales,c__Actinobacteria,rank_3,o__Acidothermales,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Acidothermales,,,
f__Acidothermaceae,o__Acidothermales,rank_4,f__Acidothermaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Acidothermales,f__Acidothermaceae,,
g__Acidothermus,f__Acidothermaceae,rank_5,g__Acidothermus,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Acidothermales,f__Acidothermaceae,g__Acidothermus,
s__Acidothermus_cellulolyticus,g__Acidothermus,rank_6,s__Acidothermus_cellulolyticus,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Acidothermales,f__Acidothermaceae,g__Acidothermus,s__Acidothermus_cellulolyticus
o__Actinomycetales,c__Actinobacteria,rank_3,o__Actinomycetales,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,,,
f__Actinomycetaceae,o__Actinomycetales,rank_4,f__Actinomycetaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,,
g__Actinomyces,f__Actinomycetaceae,rank_5,g__Actinomyces,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,
s__Actinomyces_massiliensis,g__Actinomyces,rank_6,s__Actinomyces_massiliensis,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_massiliensis
g__Arcanobacterium,f__Actinomycetaceae,rank_5,g__Arcanobacterium,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Arcanobacterium,
s__Arcanobacterium_sp._S3PF19,g__Arcanobacterium,rank_6,s__Arcanobacterium_sp._S3PF19,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Arcanobacterium,s__Arcanobacterium_sp._S3PF19
g__Gleimia,f__Actinomycetaceae,rank_5,g__Gleimia,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Gleimia,
s__Gleimia_hominis,g__Gleimia,rank_6,s__Gleimia_hominis,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Gleimia,s__Gleimia_hominis
g__Mobiluncus,f__Actinomycetaceae,rank_5,g__Mobiluncus,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Mobiluncus,
g__Schaalia,f__Actinomycetaceae,rank_5,g__Schaalia,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Schaalia,
s__Schaalia_suimastitidis,g__Schaalia,rank_6,s__Schaalia_suimastitidis,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Schaalia,s__Schaalia_suimastitidis
g__Varibaculum,f__Actinomycetaceae,rank_5,g__Varibaculum,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Varibaculum,
s__Varibaculum_cambriense,g__Varibaculum,rank_6,s__Varibaculum_cambriense,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Varibaculum,s__Varibaculum_cambriense
o__Actinopolysporales,c__Actinobacteria,rank_3,o__Actinopolysporales,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinopolysporales,,,
f__Actinopolysporaceae,o__Actinopolysporales,rank_4,f__Actinopolysporaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinopolysporales,f__Actinopolysporaceae,,
g__Actinopolyspora,f__Actinopolysporaceae,rank_5,g__Actinopolyspora,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinopolysporales,f__Actinopolysporaceae,g__Actinopolyspora,
o__Bifidobacteriales,c__Actinobacteria,rank_3,o__Bifidobacteriales,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,,,
