tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7
s__Chlorobaculum_tepidum,g__Chlorobaculum,rank_7,s__Chlorobaculum_tepidum,Root,r__Root,d__Bacteria,p__Chlorobi,c__Chlorobia,o__Chlorobiales,f__Chlorobiaceae,g__Chlorobaculum,s__Chlorobaculum_tepidum
g__Chlorobium,f__Chlorobiaceae,rank_6,g__Chlorobium,Root,r__Root,d__Bacteria,p__Chlorobi,c__Chlorobia,o__Chlorobiales,f__Chlorobiaceae,g__Chlorobium,
s__Chlorobium_limicola,g__Chlorobium,rank_7,s__Chlorobium_limicola,Root,r__Root,d__Bacteria,p__Chlorobi,c__Chlorobia,o__Chlorobiales,f__Chlorobiaceae,g__Chlorobium,s__Chlorobium_limicola
s__Chlorobium_phaeobacteroides,g__Chlorobium,rank_7,s__Chlorobium_phaeobacteroides,Root,r__Root,d__Bacteria,p__Chlorobi,c__Chlorobia,o__Chlorobiales,f__Chlorobiaceae,g__Chlorobium,s__Chlorobium_phaeobacteroides
g__Chloroherpeton,f__Chlorobiaceae,rank_6,g__Chloroherpeton,Root,r__Root,d__Bacteria,p__Chlorobi,c__Chlorobia,o__Chlorobiales,f__Chlorobiaceae,g__Chloroherpeton,
s__Chloroherpeton_thalassium,g__Chloroherpeton,rank_7,s__Chloroherpeton_thalassium,Root,r__Root,d__Bacteria,p__Chlorobi,c__Chlorobia,o__Chlorobiales,f__Chlorobiaceae,g__Chloroherpeton,s__Chloroherpeton_thalassium
g__Prosthecochloris,f__Chlorobiaceae,rank_6,g__Prosthecochloris,Root,r__Root,d__Bacteria,p__Chlorobi,c__Chlorobia,o__Chlorobiales,f__Chlorobiaceae,g__Prosthecochloris,
s__Prosthecochloris_aestuarii,g__Prosthecochloris,rank_7,s__Prosthecochloris_aestuarii,Root,r__Root,d__Bacteria,p__Chlorobi,c__Chlorobia,o__Chlorobiales,f__Chlorobiaceae,g__Prosthecochloris,s__Prosthecochloris_aestuarii
p__Chloroflexi,d__Bacteria,rank_2,p__Chloroflexi,Root,r__Root,d__Bacteria,p__Chloroflexi,,,,,
c__Anaerolineae,p__Chloroflexi,rank_3,c__Anaerolineae,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Anaerolineae,,,,
o__Anaerolineales,c__Anaerolineae,rank_4,o__Anaerolineales,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,,,
f__Anaerolineaceae,o__Anaerolineales,rank_5,f__Anaerolineaceae,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,,
g__Anaerolinea,f__Anaerolineaceae,rank_6,g__Anaerolinea,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__Anaerolinea,
s__Anaerolinea_thermophila,g__Anaerolinea,rank_7,s__Anaerolinea_thermophila,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__Anaerolinea,s__Anaerolinea_thermophila
c__Chloroflexia,p__Chloroflexi,rank_3,c__Chloroflexia,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Chloroflexia,,,,
o__Chloroflexales,c__Chloroflexia,rank_4,o__Chloroflexales,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,,,
