tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7
s__Haloquadratum_walsbyi,g__Haloquadratum,rank_7,s__Haloquadratum_walsbyi,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Haloferacaceae,g__Haloquadratum,s__Haloquadratum_walsbyi
c__Methanobacteria,p__Euryarchaeota,rank_3,c__Methanobacteria,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanobacteria,,,,
o__Methanobacteriales,c__Methanobacteria,rank_4,o__Methanobacteriales,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,,,
f__Methanobacteriaceae,o__Methanobacteriales,rank_5,f__Methanobacteriaceae,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,,
g__Methanobrevibacter,f__Methanobacteriaceae,rank_6,g__Methanobrevibacter,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter,
s__Methanobrevibacter_smithii,g__Methanobrevibacter,rank_7,s__Methanobrevibacter_smithii,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter,s__Methanobrevibacter_smithii
g__Methanosphaera,f__Methanobacteriaceae,rank_6,g__Methanosphaera,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanosphaera,
s__Methanosphaera_stadtmanae,g__Methanosphaera,rank_7,s__Methanosphaera_stadtmanae,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanosphaera,s__Methanosphaera_stadtmanae
g__Methanothermobacter,f__Methanobacteriaceae,rank_6,g__Methanothermobacter,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanothermobacter,
s__Methanothermobacter_thermautotrophicus,g__Methanothermobacter,rank_7,s__Methanothermobacter_thermautotrophicus,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanothermobacter,s__Methanothermobacter_thermautotrophicus
c__Methanococci,p__Euryarchaeota,rank_3,c__Methanococci,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanococci,,,,
o__Methanococcales,c__Methanococci,rank_4,o__Methanococcales,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanococci,o__Methanococcales,,,
f__Methanocaldococcaceae,o__Methanococcales,rank_5,f__Methanocaldococcaceae,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanococci,o__Methanococcales,f__Methanocaldococcaceae,,
g__Methanocaldococcus,f__Methanocaldococcaceae,rank_6,g__Methanocaldococcus,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanococci,o__Methanococcales,f__Methanocaldococcaceae,g__Methanocaldococcus,
s__Methanocaldococcus_jannaschii,g__Methanocaldococcus,rank_7,s__Methanocaldococcus_jannaschii,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanococci,o__Methanococcales,f__Methanocaldococcaceae,g__Methanocaldococcus,s__Methanocaldococcus_jannaschii
f__Methanococcaceae,o__Methanococcales,rank_5,f__Methanococcaceae,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanococci,o__Methanococcales,f__Methanococcaceae,,
g__Methanococcus,f__Methanococcaceae,rank_6,g__Methanococcus,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanococci,o__Methanococcales,f__Methanococcaceae,g__Methanococcus,
s__Methanococcus_maripaludis,g__Methanococcus,rank_7,s__Methanococcus_maripaludis,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanococci,o__Methanococcales,f__Methanococcaceae,g__Methanococcus,s__Methanococcus_maripaludis
s__Methanococcus_voltae,g__Methanococcus,rank_7,s__Methanococcus_voltae,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanococci,o__Methanococcales,f__Methanococcaceae,g__Methanococcus,s__Methanococcus_voltae
c__Methanomicrobia,p__Euryarchaeota,rank_3,c__Methanomicrobia,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanomicrobia,,,,
o__Methanomicrobiales,c__Methanomicrobia,rank_4,o__Methanomicrobiales,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,,,
f__Methanocorpusculaceae,o__Methanomicrobiales,rank_5,f__Methanocorpusculaceae,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,,
g__Methanocorpusculum,f__Methanocorpusculaceae,rank_6,g__Methanocorpusculum,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,g__Methanocorpusculum,
s__Methanocorpusculum_labreanum,g__Methanocorpusculum,rank_7,s__Methanocorpusculum_labreanum,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,g__Methanocorpusculum,s__Methanocorpusculum_labreanum
f__Methanomicrobiaceae,o__Methanomicrobiales,rank_5,f__Methanomicrobiaceae,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanomicrobiaceae,,
g__Methanoculleus,f__Methanomicrobiaceae,rank_6,g__Methanoculleus,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanomicrobiaceae,g__Methanoculleus,
s__Methanoculleus_marisnigri,g__Methanoculleus,rank_7,s__Methanoculleus_marisnigri,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanomicrobiaceae,g__Methanoculleus,s__Methanoculleus_marisnigri
o__Methanosarcinales,c__Methanomicrobia,rank_4,o__Methanosarcinales,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,,,
f__Methanosarcinaceae,o__Methanosarcinales,rank_5,f__Methanosarcinaceae,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,,
g__Methanococcoides,f__Methanosarcinaceae,rank_6,g__Methanococcoides,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanococcoides,
s__Methanococcoides_burtonii,g__Methanococcoides,rank_7,s__Methanococcoides_burtonii,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanococcoides,s__Methanococcoides_burtonii
g__Methanosarcina,f__Methanosarcinaceae,rank_6,g__Methanosarcina,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,
s__Methanosarcina_acetivorans,g__Methanosarcina,rank_7,s__Methanosarcina_acetivorans,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina_acetivorans
s__Methanosarcina_barkeri,g__Methanosarcina,rank_7,s__Methanosarcina_barkeri,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina_barkeri
s__Methanosarcina_mazei,g__Methanosarcina,rank_7,s__Methanosarcina_mazei,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina_mazei
c__Thermococci,p__Euryarchaeota,rank_3,c__Thermococci,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Thermococci,,,,
o__Thermococcales,c__Thermococci,rank_4,o__Thermococcales,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,,,
f__Thermococcaceae,o__Thermococcales,rank_5,f__Thermococcaceae,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,f__Thermococcaceae,,
g__Pyrococcus,f__Thermococcaceae,rank_6,g__Pyrococcus,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Pyrococcus,
s__Pyrococcus_abyssi,g__Pyrococcus,rank_7,s__Pyrococcus_abyssi,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Pyrococcus,s__Pyrococcus_abyssi
s__Pyrococcus_furiosus,g__Pyrococcus,rank_7,s__Pyrococcus_furiosus,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Pyrococcus,s__Pyrococcus_furiosus
s__Pyrococcus_horikoshii,g__Pyrococcus,rank_7,s__Pyrococcus_horikoshii,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Pyrococcus,s__Pyrococcus_horikoshii
g__Thermococcus,f__Thermococcaceae,rank_6,g__Thermococcus,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,
s__Thermococcus_gammatolerans,g__Thermococcus,rank_7,s__Thermococcus_gammatolerans,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,s__Thermococcus_gammatolerans
s__Thermococcus_kodakarensis,g__Thermococcus,rank_7,s__Thermococcus_kodakarensis,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,s__Thermococcus_kodakarensis
s__Thermococcus_onnurineus,g__Thermococcus,rank_7,s__Thermococcus_onnurineus,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,s__Thermococcus_onnurineus
s__Thermococcus_sibiricus,g__Thermococcus,rank_7,s__Thermococcus_sibiricus,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,s__Thermococcus_sibiricus
